Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
26,-0.529912284,0.873891581,1.347247329,0.145456677,0.414208858,0.100223094,0.711206083,0.176065957,-0.286716935,-0.484687683,0.87248959,0.85163586,-0.571745303,0.100974273,-1.519771833,-0.284375978,-0.310523585,-0.404247869,-0.823373524,-0.290347611,0.046949067,0.208104855,-0.185548347,0.00103066,0.098815701,-0.552903603,-0.073288084,0.023307045,6.14,0
34,-0.762255666,0.127767752,2.650056386,-1.875662771,-0.893356398,-0.268714889,-0.419863597,0.146233407,-0.86963529,-0.038651669,-0.686124387,-0.502910879,1.380826322,-1.039124606,0.652842089,1.898747563,-0.458413549,-0.559803243,-0.29510264,0.359392906,0.433349642,1.260402664,-0.404700036,0.094945523,0.480975977,-0.09068468,0.319222973,0.135599925,15.99,0
51,1.259873136,0.254239576,0.514788628,0.620924297,-0.475930099,-0.992285839,0.06641651,-0.209275058,0.035571565,-0.067615821,-0.204107264,0.402596691,0.376647694,0.227135013,1.024996121,0.299531715,-0.426046051,-0.550315066,-0.119898969,-0.088970094,-0.256530536,-0.739211692,0.135732381,0.381989866,0.219301892,0.094290693,-0.028686668,0.019197591,1.98,0
53,-1.198967674,-1.474100471,1.840325987,-4.515824355,0.327567428,-0.174469283,0.959725705,-1.026456228,1.700434584,-0.078941761,1.662667145,0.4856193,-0.933024958,-1.118786565,0.141253041,-2.811887548,-0.50474581,0.891222663,-1.512022437,-0.769854287,-0.453169417,0.33461404,-0.364541412,-0.310185782,-0.302599494,-1.243924154,-1.123456545,-0.734351086,89.17,0
111,-0.820860222,1.02256699,1.996560362,1.180140793,0.232463912,-0.123952548,0.684370854,-0.008256437,-0.572410303,-0.40486721,-0.212180192,0.551737263,0.372832935,-0.119547733,0.060785635,-1.23971373,0.648088501,-0.904013395,0.405413726,0.005163633,1.69258e-4,0.183382417,-0.299915115,0.43180637,0.456705485,-0.213298199,-0.033160782,0.088371992,9.99,0
164,0.073496706,0.55103296,0.451890424,0.114963844,0.822946501,0.251480314,0.296318524,0.139496907,-0.123050186,-0.142616897,-1.652948209,-0.908371307,-0.653478668,0.40930989,1.490617839,0.104649349,-0.402916543,-0.113269881,0.777332618,-0.043919723,-0.128758266,-0.381932362,0.151011582,-1.363967289,-1.389079168,0.075412285,0.231749598,0.230170991,0.99,0
183,0.726749304,-0.528042418,0.050365515,1.373621469,-0.124121987,0.415687584,0.259554812,0.085113703,-0.003025425,-0.062290576,0.906660847,1.228475454,0.086611471,0.250634863,-0.765775297,-0.412023173,-0.111942606,-0.356576838,-0.024936808,0.285748847,0.061888475,-0.10183792,-0.308373443,-0.270673358,0.604409937,-0.333689324,-0.003944315,0.040684732,224.97,0
194,-1.131517179,1.016398669,0.735810425,1.166613773,0.7902364,-1.187196151,0.736468997,-0.327991907,-0.555549247,-0.454532753,0.023276926,-0.186312977,0.395096171,-1.308900823,1.220467459,0.116426363,0.862879581,0.649778331,0.317546511,-0.265970993,0.00961259,0.315738653,0.054209943,0.294232444,0.003876835,-0.31415862,-0.099512267,0.122697402,1,0
206,-1.427151559,-0.527766419,2.460153272,-2.807481891,-0.457111342,-1.365708945,0.516031464,-0.132600601,1.654158677,-1.861968658,-0.375046908,0.347861161,-0.476259222,-0.591427377,0.226692072,-0.05358509,-0.642540807,0.107727368,-0.995080434,0.332844186,0.175522356,0.57565524,-0.11169721,0.7529476,0.675003749,-0.162285584,0.058107434,-0.086260874,101,0
231,0.28309985,0.819283967,1.05430883,0.348488289,-0.156816751,-0.509168874,0.050382122,-0.908179117,-0.406902611,-0.610898197,0.610229487,0.966775768,1.167915091,-0.419693057,1.123807698,0.076191843,0.368976203,-0.975219854,-0.802955757,-0.165241016,0.509395353,-0.96211817,0.040062709,0.381392059,0.754119114,0.179193198,0.051790788,0.114121045,1.98,0
